c  
c  This is the s-p data from Anstee and O'Mara 1995, MNRAS 276,859
c  
2048  2022  1999  1991  1983  1956  1915  1863  1818  1794  1806  1864  1937  1960  1901  1764  1650  1581  1612  1679  1750  1733  2020  1990  2156  2367  2494  2580  2758  2811  3133  3298  3461  3826  4158  4507  4716  4965  5182  5139  4765  4040  5472  
1744  1748  1756  1763  1762  1749  1741  1744  1762  1798  1853  1931  2013  2077  2059  1959  1839  1715  1692  1722  1735  1699  2128  2097  2111  2286  2420  2579  2754  2879  3136  3375  3483  3769  4080  4418  4684  4830  5042  5056  4722  4047  5488  
1795  1776  1775  1810  1857  1886  1901  1917  1945  1989  2049  2129  2222  2303  2329  2297  2182  2051  1957  1912  1886  1870  2232  2351  2259  2361  2541  2663  2892  3035  3256  3530  3680  3901  4150  4496  4689  4930  5135  5132  4822  4165  5618  
2157  2151  2165  2198  2238  2266  2280  2300  2336  2387  2447  2518  2594  2671  2700  2686  2587  2453  2337  2256  2180  2186  2354  2587  2560  2559  2663  2782  3026  3205  3390  3702  3902  4099  4292  4566  4767  4936  5158  5189  4934  4334  5736  
2779  2775  2781  2796  2820  2846  2862  2878  2907  2946  2991  3042  3093  3136  3158  3133  3062  2927  2801  2700  2594  2591  2571  2768  2854  2823  2871  3018  3217  3399  3522  3822  4103  4306  4491  4684  4896  4979  5173  5225  5015  4475  5842  
3443  3440  3439  3445  3464  3498  3525  3539  3553  3572  3593  3618  3640  3642  3643  3601  3549  3418  3296  3177  3057  3034  2875  2956  3089  3092  3123  3311  3454  3631  3645  3864  4260  4472  4669  4824  5035  5078  5201  5245  5053  4558  5907  
4038  4042  4046  4057  4083  4129  4169  4185  4183  4180  4177  4174  4168  4137  4108  4055  4008  3878  3764  3633  3512  3475  3224  3191  3287  3325  3360  3563  3684  3888  3776  3849  4377  4579  4785  4934  5138  5201  5253  5270  5072  4600  5910  
4555  4567  4582  4599  4635  4689  4735  4752  4738  4713  4688  4660  4630  4575  4522  4464  4407  4284  4164  4033  3917  3888  3574  3468  3486  3519  3553  3733  3856  4121  3925  3820  4470  4631  4833  4979  5182  5294  5308  5303  5092  4628  5845  
5005  5018  5038  5057  5098  5152  5195  5208  5185  5141  5095  5047  4998  4930  4861  4799  4728  4623  4487  4362  4253  4249  3886  3755  3702  3694  3711  3841  3956  4279  4075  3816  4558  4650  4829  4958  5161  5327  5337  5324  5111  4653  5724  
5373  5382  5400  5419  5456  5501  5535  5539  5508  5449  5382  5319  5257  5181  5110  5040  4962  4878  4734  4613  4513  4536  4138  4016  3920  3865  3861  3917  4003  4342  4195  3847  4639  4668  4791  4898  5081  5294  5321  5303  5102  4658  5570  
5630  5634  5648  5669  5699  5731  5749  5738  5696  5628  5544  5464  5390  5311  5241  5169  5089  5023  4892  4773  4686  4726  4310  4220  4119  4031  3998  3967  4020  4317  4259  3896  4690  4690  4727  4821  4944  5186  5239  5214  5030  4612  5396  
5752  5755  5772  5794  5812  5824  5818  5789  5737  5662  5570  5476  5386  5309  5234  5171  5084  5037  4930  4824  4754  4798  4379  4326  4264  4161  4089  3978  4013  4229  4253  3932  4690  4695  4660  4723  4770  5000  5080  5046  4874  4486  5188  
6050  6050  6047  6038  6035  6032  6020  5985  5929  5851  5759  5663  5566  5465  5387  5319  5254  5215  5127  5034  4989  4992  4601  4507  4500  4399  4300  4174  4108  4267  4334  4021  4702  4728  4697  4672  4713  4899  4932  4902  4760  4429  5071  
6061  6063  6062  6055  6047  6033  6008  5964  5902  5824  5733  5637  5536  5437  5351  5284  5220  5194  5127  5051  5023  5008  4685  4566  4597  4532  4428  4265  4171  4261  4345  4062  4653  4721  4682  4642  4607  4755  4757  4693  4542  4244  4882  
6005  6009  6013  6010  5999  5974  5937  5885  5820  5743  5656  5563  5465  5371  5280  5213  5144  5126  5075  5017  5003  4981  4731  4597  4646  4624  4525  4340  4242  4284  4370  4101  4591  4693  4670  4630  4537  4633  4595  4484  4305  4023  4675  
5909  5913  5920  5918  5905  5869  5821  5762  5695  5621  5539  5454  5361  5277  5187  5118  5042  5027  4984  4942  4940  4920  4736  4607  4655  4671  4586  4394  4311  4328  4417  4146  4537  4656  4655  4628  4503  4545  4465  4296  4072  3786  4452  
5788  5790  5795  5792  5776  5732  5674  5607  5539  5468  5392  5316  5232  5159  5075  5006  4925  4910  4868  4839  4845  4830  4700  4596  4637  4682  4616  4426  4371  4383  4482  4204  4506  4625  4639  4632  4496  4492  4378  4146  3865  3555  4223  
5646  5645  5647  5640  5620  5571  5505  5431  5360  5292  5223  5156  5083  5020  4948  4882  4799  4784  4741  4719  4729  4719  4631  4558  4599  4666  4624  4442  4418  4435  4560  4277  4504  4613  4629  4641  4506  4470  4334  4045  3699  3347  4003  
5485  5481  5478  5467  5443  5391  5320  5241  5167  5100  5036  4978  4914  4862  4802  4745  4664  4649  4611  4590  4601  4594  4533  4491  4541  4628  4610  4445  4449  4473  4636  4359  4530  4627  4632  4656  4525  4469  4326  3992  3583  3177  3807  
5302  5296  5290  5275  5248  5193  5119  5037  4960  4893  4833  4779  4726  4685  4634  4591  4515  4502  4473  4454  4465  4458  4409  4390  4462  4567  4571  4430  4461  4488  4694  4439  4580  4666  4655  4678  4551  4480  4342  3983  3519  3052  3649  
5095  5090  5082  5060  5029  4973  4896  4815  4736  4668  4610  4558  4512  4483  4441  4414  4344  4336  4318  4304  4315  4306  4260  4251  4351  4473  4497  4391  4446  4470  4715  4500  4639  4720  4701  4708  4587  4498  4372  4005  3501  2975  3540  
4856  4851  4842  4813  4776  4715  4640  4561  4484  4414  4355  4304  4263  4244  4213  4197  4139  4136  4130  4125  4136  4125  4082  4069  4197  4337  4380  4313  4391  4407  4681  4517  4685  4779  4762  4749  4635  4522  4411  4048  3519  2939  3488  
4735  4723  4706  4678  4649  4598  4532  4460  4389  4325  4270  4223  4189  4177  4156  4154  4105  4108  4113  4112  4129  4075  4080  4010  4132  4313  4400  4346  4450  4424  4725  4593  4757  4860  4848  4847  4703  4619  4505  4128  3570  2957  3496  
c
.268  .268  .333  .377  .322  .284  .277  .268  .268  .270  .264  .262  .260  .262  .254  .253  .249  .246  .244  .256  .261  .281  .265  .262  .260  .256  .237  .190  .176  .141  .121  .183  .141  .148  .181  .221  .261  .315  .396  .512  .651  .802  .723  
.259  .257  .262  .286  .325  .350  .325  .296  .279  .270  .263  .265  .267  .266  .261  .264  .265  .264  .252  .265  .263  .282  .267  .267  .262  .262  .240  .200  .183  .147  .124  .185  .142  .150  .184  .225  .263  .320  .401  .520  .656  .806  .728  
.268  .268  .252  .255  .258  .290  .322  .341  .317  .302  .287  .279  .280  .275  .272  .278  .278  .274  .263  .278  .269  .285  .273  .269  .264  .266  .240  .208  .188  .152  .130  .191  .150  .156  .190  .232  .269  .323  .407  .523  .662  .812  .732  
.270  .271  .261  .253  .253  .249  .266  .292  .316  .325  .313  .303  .298  .289  .283  .286  .285  .277  .267  .284  .271  .290  .274  .272  .270  .270  .246  .212  .190  .156  .133  .194  .157  .161  .196  .234  .271  .325  .411  .527  .668  .820  .737  
.329  .270  .265  .257  .252  .245  .243  .250  .277  .291  .293  .301  .300  .303  .286  .285  .284  .277  .269  .281  .267  .292  .273  .275  .271  .270  .244  .213  .187  .152  .130  .194  .154  .159  .196  .235  .269  .325  .411  .532  .663  .820  .744  
.266  .301  .267  .262  .255  .245  .241  .241  .240  .249  .267  .281  .290  .292  .280  .278  .276  .272  .260  .279  .262  .288  .269  .275  .268  .264  .243  .214  .186  .147  .127  .192  .147  .151  .191  .230  .266  .322  .410  .531  .667  .824  .748  
.259  .268  .274  .259  .258  .255  .248  .242  .236  .238  .241  .250  .261  .269  .269  .265  .265  .263  .250  .269  .259  .287  .260  .270  .261  .259  .243  .213  .185  .145  .114  .188  .140  .147  .186  .226  .263  .324  .409  .530  .673  .821  .749  
.254  .252  .267  .271  .256  .254  .246  .241  .237  .234  .234  .232  .241  .245  .251  .250  .250  .254  .243  .261  .250  .281  .261  .271  .261  .263  .244  .220  .180  .143  .119  .191  .139  .148  .186  .224  .264  .324  .413  .529  .673  .819  .749  
.246  .254  .253  .246  .313  .246  .256  .245  .238  .237  .233  .235  .226  .231  .236  .238  .244  .243  .238  .259  .252  .281  .252  .268  .268  .263  .247  .211  .173  .138  .115  .183  .138  .150  .187  .223  .264  .328  .416  .528  .672  .839  .749  
.250  .248  .249  .248  .228  .318  .246  .251  .240  .234  .234  .235  .227  .229  .226  .233  .228  .239  .236  .254  .225  .274  .230  .249  .263  .257  .238  .211  .164  .131  .113  .215  .135  .151  .192  .231  .274  .334  .417  .529  .672  .846  .749  
.248  .245  .249  .236  .256  .239  .280  .253  .245  .240  .234  .228  .227  .227  .225  .223  .227  .229  .239  .240  .227  .249  .225  .223  .231  .238  .224  .200  .159  .133  .115  .207  .133  .153  .193  .234  .279  .337  .419  .532  .673  .839  .751  
.245  .241  .243  .239  .250  .229  .283  .250  .246  .246  .244  .236  .233  .233  .227  .225  .226  .232  .226  .228  .241  .239  .218  .224  .218  .215  .212  .193  .146  .142  .125  .196  .131  .157  .194  .235  .282  .342  .423  .535  .673  .839  .753  
.243  .241  .243  .236  .237  .249  .216  .325  .239  .246  .245  .238  .233  .230  .222  .226  .230  .218  .223  .234  .237  .250  .220  .226  .227  .205  .200  .172  .145  .141  .137  .206  .137  .161  .193  .235  .284  .345  .425  .534  .674  .839  .755  
.242  .244  .248  .240  .243  .250  .218  .256  .308  .231  .242  .244  .234  .230  .232  .223  .229  .225  .238  .225  .233  .263  .224  .241  .245  .218  .206  .180  .155  .146  .150  .216  .141  .158  .193  .238  .288  .347  .426  .535  .670  .836  .758  
.244  .243  .231  .226  .236  .251  .229  .220  .317  .275  .243  .251  .247  .240  .233  .240  .225  .226  .235  .228  .242  .269  .229  .246  .253  .242  .218  .194  .168  .162  .166  .228  .146  .167  .203  .244  .290  .348  .428  .537  .669  .837  .757  
.225  .224  .235  .229  .226  .234  .250  .224  .218  .299  .286  .238  .242  .243  .243  .233  .230  .237  .238  .231  .248  .236  .216  .225  .233  .242  .218  .214  .186  .180  .176  .236  .158  .174  .214  .254  .297  .353  .430  .536  .668  .828  .756  
.268  .260  .246  .238  .231  .240  .254  .247  .205  .229  .317  .259  .231  .238  .240  .238  .239  .239  .212  .243  .239  .221  .223  .223  .231  .225  .218  .204  .197  .188  .184  .237  .183  .192  .220  .267  .310  .356  .429  .532  .660  .822  .747  
.248  .246  .237  .225  .214  .219  .229  .227  .205  .192  .246  .317  .235  .219  .231  .233  .220  .230  .217  .217  .248  .213  .223  .232  .222  .224  .230  .201  .187  .189  .188  .235  .193  .200  .229  .267  .315  .360  .426  .523  .652  .814  .730  
.200  .201  .198  .193  .204  .207  .226  .224  .207  .184  .200  .273  .314  .228  .226  .231  .232  .235  .240  .228  .238  .222  .244  .227  .230  .236  .221  .221  .176  .189  .196  .242  .216  .222  .248  .279  .316  .371  .436  .528  .657  .819  .725  
