c  
c d-f data from Barklem, O'Mara and Ross, 1998, MNRAS, 296, 1057
c
5157  5138  5109  5084  5070  5081  5090  5080  5097  5094  5054  5044  4955  4928  4724  4574  4525  4265  4330  4117  3903  4122  3547  3448  3531  3660  4033  3993  
c        
.294  .286  .299  .300  .306  .309  .310  .310  .316  .318  .325  .351  .363  .369  .371  .379  .373  .351  .334  .415  .574  .715  .447  .499  .534  .538  .532  .588  
.294  .295  .301  .302  .311  .315  .314  .314  .319  .320  .324  .348  .360  .365  .367  .374  .368  .349  .332  .415  .577  .716  .448  .499  .533  .536  .531  .588  
.285  .297  .301  .303  .311  .322  .320  .318  .324  .322  .323  .345  .355  .357  .361  .367  .360  .342  .331  .416  .579  .719  .448  .497  .530  .532  .527  .588  
.289  .294  .306  .315  .322  .329  .325  .324  .329  .323  .321  .342  .350  .351  .353  .360  .358  .336  .329  .415  .583  .722  .447  .496  .527  .528  .522  .586  
.292  .299  .306  .321  .327  .336  .333  .329  .330  .320  .321  .338  .343  .343  .344  .351  .352  .332  .325  .410  .585  .724  .446  .493  .523  .522  .517  .581  
.290  .298  .308  .323  .335  .339  .334  .332  .326  .322  .318  .333  .336  .335  .335  .344  .344  .328  .315  .408  .585  .731  .444  .490  .517  .517  .512  .574  
.296  .301  .311  .321  .340  .338  .333  .326  .325  .318  .317  .324  .329  .329  .329  .336  .336  .325  .307  .410  .578  .733  .439  .485  .512  .511  .507  .569  
.318  .313  .317  .327  .334  .344  .339  .327  .322  .318  .312  .317  .318  .322  .321  .326  .326  .316  .315  .399  .576  .726  .428  .475  .502  .503  .501  .560  
.333  .328  .339  .325  .359  .350  .331  .324  .321  .311  .309  .310  .311  .316  .314  .317  .320  .313  .316  .390  .582  .723  .419  .463  .491  .493  .495  .553  
.273  .272  .322  .411  .317  .339  .359  .327  .324  .311  .308  .325  .322  .315  .318  .319  .324  .314  .315  .418  .581  .746  .424  .461  .486  .490  .497  .553  
.297  .295  .273  .301  .436  .324  .354  .335  .326  .311  .313  .329  .323  .324  .325  .323  .329  .313  .314  .431  .582  .754  .441  .468  .491  .494  .500  .555  
.283  .295  .295  .280  .299  .437  .322  .348  .331  .318  .320  .331  .334  .334  .334  .331  .332  .309  .309  .411  .627  .732  .459  .489  .503  .503  .511  .559  
.280  .278  .284  .296  .278  .320  .444  .318  .319  .324  .328  .338  .347  .345  .344  .336  .328  .299  .301  .398  .636  .765  .467  .512  .528  .523  .523  .562  
.279  .272  .266  .273  .284  .267  .342  .389  .322  .308  .317  .324  .343  .348  .346  .336  .310  .286  .294  .401  .586  .827  .453  .519  .547  .543  .535  .559  
.277  .266  .259  .266  .275  .263  .294  .408  .336  .323  .299  .308  .330  .334  .344  .327  .315  .280  .291  .399  .556  .787  .430  .497  .547  .553  .539  .548  
.269  .262  .257  .260  .273  .273  .262  .374  .409  .297  .311  .293  .312  .331  .328  .321  .306  .269  .282  .389  .556  .699  .427  .477  .524  .546  .541  .548  
.271  .266  .262  .264  .274  .269  .261  .322  .351  .358  .293  .325  .310  .318  .320  .315  .290  .268  .278  .393  .549  .645  .422  .476  .515  .531  .532  .545  
.275  .276  .271  .276  .278  .269  .263  .295  .393  .340  .318  .286  .320  .329  .316  .302  .279  .261  .279  .391  .528  .611  .409  .444  .485  .517  .522  .529  
.290  .288  .278  .279  .265  .259  .253  .296  .384  .311  .325  .301  .274  .294  .315  .309  .281  .246  .272  .375  .504  .587  .383  .437  .469  .489  .505  .515  
.278  .271  .260  .256  .246  .251  .268  .316  .373  .310  .293  .305  .296  .282  .279  .290  .292  .266  .274  .364  .491  .576  .373  .431  .490  .519  .509  .504  
.257  .250  .248  .253  .255  .272  .296  .341  .365  .297  .273  .284  .287  .289  .290  .283  .287  .283  .302  .405  .519  .596  .403  .448  .482  .524  .554  .541  
.337  .337  .342  .349  .360  .383  .404  .408  .387  .308  .284  .293  .295  .294  .305  .304  .295  .294  .339  .461  .596  .665  .445  .482  .504  .521  .565  .601  
.246  .244  .238  .232  .229  .233  .229  .247  .248  .274  .320  .347  .292  .269  .272  .270  .297  .331  .363  .398  .416  .407  .360  .386  .415  .451  .469  .468  
.232  .229  .224  .221  .221  .220  .219  .240  .235  .252  .288  .315  .353  .272  .261  .265  .293  .367  .417  .416  .392  .355  .368  .387  .408  .436  .468  .471  
